ASIN,star_rating,ratings,featureBullets,Overview
B00G4UEDVW,False,False,False,False
B07N7LC7N9,False,False,False,True
B0CY56R6V5,False,False,False,True
B0D22WM2QX,False,False,False,True
B0BB9ML2J3,False,False,False,True
B0B6ZNR4SJ,False,False,False,True
B07D892NMK,False,False,True,False
B09M8T96TS,False,False,False,True
B07FSQ3WZX,False,False,False,True
B0CLVNFZJ1,False,False,False,True
B09S3SRKMT,False,False,True,False
B0BJ8YPXKY,False,False,False,True
B0DH5275Z7,True,True,False,False
B0DH53Z7N9,True,True,False,False
B08KSJ32SC,False,False,False,False
B08MVBF4P8,False,False,False,False
B08GG9M863,False,False,False,False
B0BXX31HSG,False,False,True,False
B07CH8F17Q,False,False,True,False
B093QBP6D7,False,False,False,False
B08GGDRRQ8,False,False,False,False
B0DGQM5J44,True,True,False,False
B0DHL8ZD7T,True,True,False,False
B091JG3GJ5,False,False,False,False
B08PKFFWTY,False,False,False,False
B097RBPTRH,False,False,True,False
B09V75DCKH,False,False,False,False
B09R49T16G,False,False,True,False
B09VPNK8VP,False,False,False,False
B0CHPFSB2M,False,False,True,False
B07CH7GZL9,False,False,True,False
B07CG2TD9F,False,False,True,False
B07CH9XWHR,False,False,True,False
B0BTZ26XF2,False,False,False,True
B0B3TMLPMJ,False,False,True,True
B09RB93LBX,False,False,False,False
B01MQZ7R9M,False,False,False,True
B0BPHSHCDX,False,False,False,False
B0BSNJWW9T,False,False,True,False
B09PFZKX85,False,False,False,True
B00YT1IZTO,False,False,True,False
B0BSNJW9MK,False,False,True,False
B08W1Y32MR,False,False,False,True
B075V212VX,False,False,False,True
B0DF84W8FY,True,True,False,False
B0DH588T6L,True,True,False,False
B0DDHMZ9LK,True,True,False,False
B0D96FN6ND,False,False,False,True
B0D9VZ1B19,True,True,False,False
B0DJR8LWFK,True,True,False,False
B0DK2Z4H6Q,True,True,False,False
B0C1K98TW7,False,False,False,True
B0DHY2HTFR,True,True,False,False
B0CZQF9P4M,True,True,True,False
B0DK7TNBP5,True,True,False,False
B0D73RFB32,True,True,False,False
B0D76XXPPR,False,False,True,False
B0DDBVR26N,True,True,False,False
B0D2CWLL2N,True,True,False,False
B0DCG8S86C,True,True,False,False
B0DCK389BD,True,True,False,False
B0DF52V1H6,True,True,False,False
B0D8NCRS99,True,True,False,False
B0D4L8QSWP,True,True,False,True
B0CRG38V7K,False,False,True,False
B0C4KPT2GF,False,False,False,True
B0CKY7Y92P,False,False,False,True
B0DHXW1SQ8,True,True,False,True
B0DGG8CWV3,True,True,False,False
B0CK8F2514,False,False,False,True
B0DFMD1RVN,True,True,False,False
B0CTYPZ6PG,True,True,False,False
B0D5BDP57F,True,True,False,False
B0D847ZW8Z,True,True,False,True
B0CRHVDNHK,False,False,False,True
B0BWDLNGQK,True,True,False,True
B0D2D3RWKP,True,True,False,True
B0CFXZQPXF,False,False,False,True
B0DDVPY38L,True,True,False,False
B0CCRD47GR,True,True,False,False
B0CJ571BNB,False,False,False,True
B0CJ589J19,False,False,False,True
B0CPQ1GXRX,True,True,False,False
B0CRFCRHS8,False,False,True,False
B0CRFVMK94,False,False,True,False
B0CRG39KPK,False,False,True,False
B0CRFSRGTG,False,False,True,False
B0CRG39C8N,False,False,True,False
B0D6NGQ97G,True,True,False,False
B09X5WGSVG,False,False,True,True
B00MJXFSOY,False,False,False,False
B012N0ZSME,False,False,True,False
B0D8FZ97N4,True,True,False,False
B0D6WD6P4H,False,False,False,False
B09V11J15Z,False,False,False,False
B0CVXF2VGW,False,False,False,False
B0C3M8W5WF,False,False,False,False
B0C7WDQ58F,False,False,False,True
B0CW5BK193,False,False,False,False
0143453580,False,False,True,True
014345367X,False,False,True,True
0143453688,False,False,True,True
9362619342,True,True,True,True
1678043850,False,False,True,True
1786583232,False,False,True,True
1409181634,False,False,True,True
9386215969,False,False,True,True
9355201060,False,False,True,True
0143460242,False,False,True,True
9358561661,False,False,True,True
9354406246,False,False,True,True
1444775812,False,False,True,True
0143458280,False,False,True,True
147118501X,False,False,True,True
140593025X,False,False,True,True
8172344430,False,False,True,True
1035035057,False,False,True,True
0008536694,False,False,True,True
0143464523,False,False,True,True
1848126476,False,False,True,True
9356294496,False,False,True,True
9815204475,False,False,True,True
1408726602,False,False,True,True
0099558785,False,False,True,True
1035044862,False,False,True,True
9351032183,False,False,True,True
935520650X,False,False,True,True
0143454374,False,False,True,True
9356291934,False,False,True,True
9356292272,False,False,True,True
9356292396,False,False,True,True
9391142176,False,False,True,True
1501110365,False,False,True,True
9354407331,False,False,True,True
0099448823,False,False,True,True
9357020063,False,False,True,True
8175993790,False,False,True,True
9354402178,False,False,True,True
0670095206,False,False,True,True
0008609217,False,False,True,True
0241252083,False,False,True,True
0241972930,False,False,True,True
1786892723,False,False,True,True
938777936X,False,False,True,True
0008123209,False,False,True,True
0143440055,False,False,True,True
1804990922,False,False,True,True
8175992956,False,False,True,True
9357025995,False,False,True,True
1909531618,False,False,True,True
152911554X,False,False,True,True
9358563117,False,False,True,True
9354406718,False,False,True,True
8179922324,False,False,True,True
9334001313,False,False,True,True
935543135X,False,False,True,True
8172345666,False,False,True,True
9351772071,False,False,True,True
9354893899,False,False,True,True
9355434146,False,False,True,True
9362639009,False,False,True,True
0141033576,False,False,True,True
1846041244,False,False,True,True
9395192909,False,False,True,True
9394407219,False,False,True,True
0099590085,False,False,True,True
1760630721,False,False,True,True
0751527378,False,False,True,True
8184004575,False,False,True,True
8179925919,False,False,True,True
817992162X,False,False,True,True
9389717329,False,False,True,True
014345921X,False,False,True,True
9390166268,False,False,True,True
8175994444,False,False,True,True
1529115663,False,False,True,True
0241619459,False,False,True,True
1846048559,False,False,True,True
935333473X,False,False,True,True
1847941834,False,False,True,True
1782116613,False,False,True,True
9353338158,False,False,True,True
9389931843,False,False,True,True
935699997X,False,False,True,True
9355434022,False,False,True,True
9388550072,False,False,True,True
8119153758,False,False,True,True
0143424122,False,False,True,True
8175994754,False,False,True,True
9354402208,False,False,True,True
1250280265,False,False,True,True
8129142155,False,False,True,True
0062641549,False,False,True,True
8183286011,False,False,True,True
178633089X,False,False,True,True
0670086622,False,False,True,True
817234368X,False,False,True,True
8195895077,False,False,True,True
9352661370,False,False,True,True
9354405592,False,False,True,True
067009031X,False,False,True,True
0670094692,False,False,True,True
0670094684,False,False,True,True
9387944891,False,False,True,True
0143455346,False,False,True,True
1847941494,False,False,True,True
9355434030,False,False,True,True
0143452134,False,False,True,True
9354352499,False,False,True,True
9388144392,False,False,True,True
9356993335,False,False,True,True
1529938597,False,False,True,True
8172345240,False,False,True,True
